-24.41,3.184,26.248,
-24.586,3.361,26.077,
-23.171,4.068,24.032,
-23.525,4.068,26.759,
-25.648,4.776,26.418,
-25.117,2.476,26.248,
-23.525,3.007,25.395,
-25.117,3.891,26.929,
-23.879,4.422,26.759,
-24.056,2.83,25.907,
-22.818,4.422,26.418,
-26.002,4.068,25.395,
-25.648,4.068,24.714,
-22.995,3.538,25.566,
-23.348,3.538,25.225,
-24.056,4.953,25.566,
-24.94,3.007,25.054,
-24.586,4.422,26.759,
-25.294,4.422,25.736,
-24.056,3.184,26.929,
-24.586,3.715,26.077,
-24.586,3.361,24.714,
-24.233,4.068,26.759,
-24.763,3.891,25.566,
-26.002,3.715,26.077,
-24.586,4.422,26.077,
-24.056,4.245,27.27,
-24.41,4.953,25.907,
-25.117,3.891,25.566,
-24.41,4.245,25.907,
-25.294,3.361,27.1,
-24.056,4.599,25.907,
-23.525,4.776,26.759,
-24.586,4.068,26.759,
-24.41,3.538,25.907,
-24.41,4.953,25.907,
-24.94,3.715,26.077,
-23.879,4.776,25.395,
-23.525,4.422,26.077,
-24.056,4.599,25.225,
-23.702,3.891,24.884,
-24.763,3.538,26.588,
-24.94,4.776,26.077,
-24.94,3.007,27.1,
-23.702,4.245,25.225,
-24.056,4.953,25.566,
-23.348,4.599,25.566,
-23.879,4.422,25.054,
-25.117,3.891,27.611,
-24.233,4.776,26.418,
-24.233,4.422,25.736,
-25.294,3.361,24.373,
-24.94,3.007,26.077,
-23.525,3.715,25.395,
-23.879,3.007,25.395,
-24.763,4.953,26.929,
-24.94,7.606,28.122,
-26.178,7.429,29.656,
-25.117,9.552,28.975,
-25.294,8.667,29.145,
-25.471,12.382,29.997,
-25.117,12.382,33.065,
-24.94,15.389,32.213,
-24.586,16.45,32.895,
-23.879,16.804,33.235,
-23.171,18.573,32.895,
-21.049,19.634,34.599,
-22.287,21.579,35.11,
-20.341,23.879,35.281,
-20.872,23.348,36.474,
-20.341,24.94,35.622,
-19.28,26.002,37.667,
-18.749,25.825,36.133,
-17.334,26.532,37.496,
-13.443,27.593,38.519,
-14.858,28.301,37.156,
-13.797,28.655,37.837,
-13.974,29.539,40.735,
-10.967,28.655,37.156,
-12.205,30.954,40.053,
-8.844,29.716,38.178,
-10.436,29.893,40.053,
-7.429,30.777,38.86,
-7.075,30.777,38.519,
-6.014,31.131,39.201,
-4.422,30.954,39.712,
-4.422,29.539,37.667,
-2.123,30.777,38.178,
-3.361,30.954,37.326,
-1.946,29.893,38.69,
-1.769,30.07,37.496,
1.415,29.362,38.178,
2.123,28.655,38.178,
1.238,29.539,37.667,
2.83,28.655,36.133,
6.191,26.355,36.644,
5.66,26.532,35.451,
6.191,24.586,35.963,
8.667,23.879,36.303,
7.429,24.41,34.769,
7.429,23.702,34.429,
8.313,22.818,34.258,
9.552,20.872,33.406,
10.436,20.695,33.917,
9.728,18.926,31.531,
9.905,18.749,31.361,
11.851,18.573,31.531,
10.613,15.212,31.02,
12.028,14.504,29.315,
11.851,14.681,28.463,
12.559,10.79,27.1,
13.089,9.198,27.952,
12.205,8.667,26.418,
10.79,6.191,25.054,
9.905,4.245,25.225,
10.259,3.891,24.202,
8.667,3.361,24.373,
9.198,2.476,22.839,
9.198,-0.708,22.839,
6.721,-0.354,21.475,
7.075,-2.83,20.793,
6.014,-0.708,21.134,
6.014,-2.123,20.793,
5.306,-3.538,20.453,
5.837,-3.715,18.919,
4.776,-3.361,18.919,
4.953,-3.538,20.112,
1.061,-4.953,18.066,
1.946,-5.837,17.555,
1.415,-6.014,19.43,
0.354,-7.075,18.066,
-1.592,-6.191,20.282,
-1.592,-7.606,16.873,
-3.538,-6.368,19.089,
-3.715,-7.252,17.555,
-4.953,-6.368,18.748,
-8.137,-6.014,18.407,
-9.552,-6.368,19.089,
-9.905,-8.844,18.748,
-12.735,-7.429,18.066,
-14.504,-6.368,20.453,
-16.981,-4.599,20.453,
-19.28,-3.715,21.987,
-21.933,-0.708,22.839,
-21.756,-0.531,23.009,
-23.879,1.946,24.032,
-24.41,5.306,25.907,
-24.586,6.545,27.1,
-25.471,8.49,28.293,
-26.178,10.967,29.315,
-24.41,14.504,31.702,
-24.94,14.327,32.213,
-22.995,16.627,33.747,
-23.702,20.164,35.11,
-23.525,19.988,34.258,
-22.818,22.11,35.622,
-21.403,22.464,35.963,
-19.988,22.464,35.963,
-19.988,23.879,35.622,
-20.518,24.056,36.815,
-21.579,23.348,36.474,
-20.695,23.525,37.326,
-20.164,23.348,36.133,
-19.103,22.995,35.11,
-20.872,23.348,35.792,
-20.164,22.641,34.769,
-22.287,23.348,36.133,
-19.28,23.171,36.985,
-19.634,23.525,36.644,
-20.518,24.056,36.815,
